Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,CO2_Fertilizer,CO2_Pesticide,CO2_Emissions,Carbon_Footprint
Niger seed,2009,Kharif     ,Chhattisgarh,68032,10904,956.9,10600746.24,11565.44,0.146,28091977.536,57827.2,28149804.736,2581.60351577403
Onion,2009,Whole Year ,Chhattisgarh,5013,22924,956.9,781125.66,852.21,4.292666667,2069982.999,4261.05,2074244.049,90.4835128686093
Other  Rabi pulses,2009,Rabi       ,Chhattisgarh,1877,252,956.9,292474.14,319.09,0.464444444,775056.471,1595.45,776651.921,3081.95206746032
Other Kharif pulses,2009,Kharif     ,Chhattisgarh,6959,1596,956.9,1084351.38,1183.03,0.225294118,2873531.157,5915.15,2879446.307,1804.16435275689
Peas & beans (Pulses),2009,Rabi       ,Chhattisgarh,14765,5062,956.9,2300682.3,2510.05,0.311764706,6096808.095,12550.25,6109358.345,1206.90603417622
Potato,2009,Whole Year ,Chhattisgarh,12076,45830,956.9,1881682.32,2052.92,4.504666667,4986458.148,10264.6,4996722.748,109.027334671613
Ragi,2009,Kharif     ,Chhattisgarh,8889,2202,956.9,1385083.98,1511.13,0.2075,3670472.547,7555.65,3678028.197,1670.31253269755
Rapeseed &Mustard,2009,Rabi       ,Chhattisgarh,52390,21675,956.9,8163409.8,8906.3,0.420555556,21633035.97,44531.5,21677567.47,1000.11845305652
Rice,2009,Kharif     ,Chhattisgarh,3837610,4347316,956.9,597976390.2,652393.7,1.106666667,1584637434.03,3261968.5,1587899402.53,365.259714851646
Safflower,2009,Rabi       ,Chhattisgarh,847,241,956.9,131979.54,143.99,0.27375,349745.781,719.95,350465.731,1454.21465145228
Sannhamp,2009,Whole Year ,Chhattisgarh,1532,487,956.9,238716.24,260.44,0.275294118,632598.036,1302.2,633900.236,1301.64319507187
Sesamum,2009,Kharif     ,Chhattisgarh,19601,8647,956.9,3054227.82,3332.17,0.457777778,8093703.723,16660.85,8110364.573,937.939698508153
Small millets,2009,Kharif     ,Chhattisgarh,171071,29998,956.9,26656283.22,29082.07,0.181111111,70639150.533,145410.35,70784560.883,2359.64267227815
Soyabean,2009,Kharif     ,Chhattisgarh,83734,77837,956.9,13047431.88,14234.78,0.937692308,34575694.482,71173.9,34646868.382,445.120808638565
Sugarcane,2009,Whole Year ,Chhattisgarh,6788,35356,956.9,1057706.16,1153.96,3.389375,2802921.324,5769.8,2808691.124,79.4402965267564
Sunflower,2009,Kharif     ,Chhattisgarh,4523,589,956.9,704773.86,768.91,0.305384615,1867650.729,3844.55,1871495.279,3177.41133955857
Sweet potato,2009,Whole Year ,Chhattisgarh,2793,15042,956.9,435205.26,474.81,5.366470588,1153293.939,2374.05,1155667.989,76.8294102512964
Tobacco,2009,Whole Year ,Chhattisgarh,22,11,956.9,3428.04,3.74,0.39,9084.306,18.7,9103.006,827.546
Turmeric,2009,Whole Year ,Chhattisgarh,906,766,956.9,141172.92,154.02,0.757333333,374108.238,770.1,374878.338,489.397308093995
Urad,2009,Kharif     ,Chhattisgarh,102703,28064,956.9,16003181.46,17459.51,0.28,42408430.869,87297.55,42495728.419,1514.24345848774
Urad,2009,Rabi       ,Chhattisgarh,4512,1135,956.9,703059.84,767.04,0.242307692,1863108.576,3835.2,1866943.776,1644.88438414097
Wheat,2009,Rabi       ,Chhattisgarh,109163,118923,956.9,17009778.66,18557.71,1.301764706,45075913.449,92788.55,45168701.999,379.814686805748
Arhar/Tur,2009,Kharif     ,Gujarat,266600,241500,618,41541612,45322,0.879565217,110085271.8,226610,110311881.8,456.777978467909
Bajra,2009,Kharif     ,Gujarat,498800,432400,618,77723016,84796,1.017142857,205965992.4,423980,206389972.4,477.312609620722
Bajra,2009,Summer     ,Gujarat,174200,396400,618,27143844,29614,2.33,71931186.6,148070,72079256.6,181.834653380424
Banana,2009,Whole Year ,Gujarat,22100,1605500,618,3443622,3757,65.11,9125598.3,18785,9144383.3,5.69566072874494
Castor seed,2009,Kharif     ,Gujarat,421600,831400,618,65693712,71672,2.041304348,174088336.8,358360,174446696.8,209.822825114265
Cotton(lint),2009,Kharif     ,Gujarat,2464400,7401000,618,384002808,418948,3.094782609,1017607441.2,2094740,1019702181.2,137.778973273882
Dry chillies,2009,Whole Year ,Gujarat,9000,8500,618,1402380,1530,0.970909091,3716307,7650,3723957,438.112588235294
Garlic,2009,Whole Year ,Gujarat,15300,93800,618,2384046,2601,5.490833333,6317721.9,13005,6330726.9,67.4917579957356
Gram,2009,Rabi       ,Gujarat,132200,124900,618,20599404,22474,0.9432,54588420.6,112370,54700790.6,437.956690152122
Groundnut,2009,Kharif     ,Gujarat,1757600,1633200,618,273869232,298792,1.067916667,725753464.8,1493960,727247424.8,445.28987558168
Groundnut,2009,Summer     ,Gujarat,65000,123700,618,10128300,11050,1.798695652,26839995,55250,26895245,217.42316087308
Guar seed,2009,Whole Year ,Gujarat,132700,44700,618,20677314,22559,0.376363636,54794882.1,112795,54907677.1,1228.35966666667
Jowar,2009,Kharif     ,Gujarat,111800,118400,618,17420676,19006,0.996818182,46164791.4,95030,46259821.4,390.707951013514
Jowar,2009,Rabi       ,Gujarat,51600,52900,618,8040312,8772,1.084615385,21306826.8,43860,21350686.8,403.604665406427
Maize,2009,Kharif     ,Gujarat,411700,396600,618,64151094,69989,1.008,170000399.1,349945,170350344.1,429.526838376198
Moong(Green Gram),2009,Kharif     ,Gujarat,165500,59700,618,25788210,28135,0.4116,68338756.5,140675,68479431.5,1147.05915410385
Moth,2009,Kharif     ,Gujarat,22500,5800,618,3505950,3825,0.348,9290767.5,19125,9309892.5,1605.15387931035
Onion,2009,Rabi       ,Gujarat,38500,1051400,618,5999070,6545,26.69277778,15897535.5,32725,15930260.5,15.1514747003995
Other  Rabi pulses,2009,Rabi       ,Gujarat,21200,15600,618,3303384,3604,0.703636364,8753967.6,18020,8771987.6,562.306897435898
Other Cereals,2009,Kharif     ,Gujarat,26300,15900,618,4098066,4471,0.686363636,10859874.9,22355,10882229.9,684.416974842767
Other Cereals,2009,Rabi       ,Gujarat,14100,18100,618,2197062,2397,1.19125,5822214.3,11985,5834199.3,322.331453038674
Other Kharif pulses,2009,Kharif     ,Gujarat,29900,21900,618,4659018,5083,0.764761905,12346397.7,25415,12371812.7,564.9229543379
Potato,2009,Whole Year ,Gujarat,47300,987900,618,7370286,8041,18.8975,19531257.9,40205,19571462.9,19.8111781556838
Ragi,2009,Kharif     ,Gujarat,14700,11000,618,2290554,2499,0.7575,6069968.1,12495,6082463.1,552.951190909091
Rapeseed &Mustard,2009,Rabi       ,Gujarat,216000,341400,618,33657120,36720,1.492105263,89191368,183600,89374968,261.789595782074
Rice,2009,Kharif     ,Gujarat,658500,1228400,618,102607470,111945,1.693529412,271909795.5,559725,272469520.5,221.808466704657
Rice,2009,Summer     ,Gujarat,21000,64600,618,3272220,3570,3.034444444,8671383,17850,8689233,134.508250773994
Sesamum,2009,Kharif     ,Gujarat,225900,80400,618,35199738,38403,0.364,93279305.7,192015,93471320.7,1162.57861567164
Sugarcane,2009,Whole Year ,Gujarat,190300,13304000,618,29652546,32351,66.79470588,78579246.9,161755,78741001.9,5.9185960538184
Tobacco,2009,Kharif     ,Gujarat,62800,101500,618,9785496,10676,1.661428571,25931564.4,53380,25984944.4,256.009304433498
Tobacco,2009,Rabi       ,Gujarat,62800,101500,618,9785496,10676,1.661428571,25931564.4,53380,25984944.4,256.009304433498
Urad,2009,Kharif     ,Gujarat,97900,50500,618,15254778,16643,0.610384615,40425161.7,83215,40508376.7,802.146073267327
Wheat,2009,Rabi       ,Gujarat,878000,2351300,618,136809960,149260,2.617692308,362546394,746300,363292694,154.507163696678
Arhar/Tur,2009,Kharif     ,Haryana,19853,21600,393,3093494.46,3375.01,0.742,8197760.319,16875.05,8214635.369,380.307193009259
Bajra,2009,Kharif     ,Haryana,583809,930000,393,90969118.38,99247.53,1.601428571,241068163.707,496237.65,241564401.357,259.746668125806
Barley,2009,Rabi       ,Haryana,42096,137000,393,6559398.72,7156.32,1.881428571,17382406.608,35781.6,17418188.208,127.140059912409
Castor seed,2009,Kharif     ,Haryana,1012,1100,393,157689.84,172.04,0.965,417878.076,860.2,418738.276,380.67116
Coriander,2009,Whole Year ,Haryana,378,600,393,58899.96,64.26,0.564444444,156084.894,321.3,156406.194,260.67699
Cotton(lint),2009,Kharif     ,Haryana,505082,1918000,393,78701877.24,85863.94,1.896111111,208559974.686,429319.7,208989294.386,108.962093006257
Dry chillies,2009,Whole Year ,Haryana,908,1400,393,141484.56,154.36,0.823571429,374934.084,771.8,375705.884,268.361345714286
Garlic,2009,Whole Year ,Haryana,735,6500,393,114527.7,124.95,6.032222222,303498.405,624.75,304123.155,46.7881776923077
Gram,2009,Rabi       ,Haryana,84031,62000,393,13093710.42,14285.27,0.4295,34698332.613,71426.35,34769758.963,560.802563919355
Groundnut,2009,Kharif     ,Haryana,1729,1600,393,269412.78,293.93,0.581818182,713943.867,1469.65,715413.517,447.133448125
Horse-gram,2009,Kharif     ,Haryana,436,100,393,67937.52,74.12,0.09,180034.428,370.6,180405.028,1804.05028
Jowar,2009,Kharif     ,Haryana,77671,390,393,12102695.22,13204.07,0.003571429,32072142.333,66020.35,32138162.683,82405.5453410257
Maize,2009,Kharif     ,Haryana,12199,26000,393,1900848.18,2073.83,0.940555556,5037247.677,10369.15,5047616.827,194.139108730769
Masoor,2009,Rabi       ,Haryana,4646,3600,393,723939.72,789.82,0.747692308,1918440.258,3949.1,1922389.358,533.997043888889
Moong(Green Gram),2009,Kharif     ,Haryana,14899,6600,393,2321562.18,2532.83,0.235625,6152139.777,12664.15,6164803.927,934.061201060606
Moth,2009,Kharif     ,Haryana,2789,700,393,434581.98,474.13,0.192857143,1151642.247,2370.65,1154012.897,1648.58985285714
Onion,2009,Whole Year ,Haryana,1535,31300,393,239183.7,260.95,19.35785714,633836.805,1304.75,635141.555,20.2920624600639
Peas & beans (Pulses),2009,Rabi       ,Haryana,1651,1600,393,257258.82,280.67,0.586875,681735.873,1403.35,683139.223,426.962014375
Potato,2009,Whole Year ,Haryana,12269,136400,393,1911755.58,2085.73,17.30357143,5066152.287,10428.65,5076580.937,37.2183353152493
Rice,2009,Kharif     ,Haryana,1206435,3628000,393,187986701.7,205093.95,2.673809524,498164759.505,1025469.75,499190229.255,137.593778736218
Sesamum,2009,Kharif     ,Haryana,2990,1200,393,465901.8,508.3,0.2065,1234639.77,2541.5,1237181.27,1030.98439166667
Sugarcane,2009,Whole Year ,Haryana,79171,4078900,393,12336425.22,13459.07,47.4235,32691526.833,67295.35,32758822.183,8.03128838240702
Sunflower,2009,Rabi       ,Haryana,6189,11100,393,964369.98,1052.13,1.67,2555580.447,5260.65,2560841.097,230.706405135135
Sweet potato,2009,Whole Year ,Haryana,59,1100,393,9193.38,10.03,13.7,24362.457,50.15,24412.607,22.1932790909091
Urad,2009,Kharif     ,Haryana,2964,1100,393,461850.48,503.88,0.25875,1223903.772,2519.4,1226423.172,1114.93015636364
Wheat,2009,Rabi       ,Haryana,2487756,10488000,393,387642139.9,422918.52,4.133809524,1027251670.735,2114592.6,1029366263.335,98.1470502798436
Arhar/Tur,2009,Kharif     ,Himachal Pradesh,12,3,969.9,1869.84,2.04,0.4,4955.076,10.2,4965.276,1655.092
Bajra,2009,Kharif     ,Himachal Pradesh,213,106,969.9,33189.66,36.21,0.584,87952.599,181.05,88133.649,831.449518867925
Barley,2009,Rabi       ,Himachal Pradesh,21017,16176,969.9,3274868.94,3572.89,0.784545455,8678402.691,17864.45,8696267.141,537.60306262364
Coriander,2009,Rabi       ,Himachal Pradesh,120,66,969.9,18698.4,20.4,0.608,49550.76,102,49652.76,752.314545454546
Cotton(lint),2009,Kharif     ,Himachal Pradesh,8,2,969.9,1246.56,1.36,0.335,3303.384,6.8,3310.184,1655.092
Dry chillies,2009,Kharif     ,Himachal Pradesh,603,318,969.9,93959.46,102.51,0.545,248992.569,512.55,249505.119,784.60729245283
Garlic,2009,Rabi       ,Himachal Pradesh,4860,8491,969.9,757285.2,826.2,1.673,2006805.78,4131,2010936.78,236.831560475798
Ginger,2009,Kharif     ,Himachal Pradesh,2488,11618,969.9,387680.16,422.96,3.883,1027352.424,2114.8,1029467.224,88.6096767085557
Gram,2009,Rabi       ,Himachal Pradesh,604,308,969.9,94115.28,102.68,0.397777778,249405.492,513.4,249918.892,811.424974025974
Groundnut,2009,Kharif     ,Himachal Pradesh,195,129,969.9,30384.9,33.15,0.6625,80519.985,165.75,80685.735,625.470813953489
Horse-gram,2009,Kharif     ,Himachal Pradesh,2005,599,969.9,312419.1,340.85,0.306,827910.615,1704.25,829614.865,1384.99977462437
Linseed,2009,Rabi       ,Himachal Pradesh,1415,355,969.9,220485.3,240.55,0.255,584286.045,1202.75,585488.795,1649.26421126761
Maize,2009,Kharif     ,Himachal Pradesh,290199,530224,969.9,45218808.18,49333.83,2.08,119829841.677,246669.15,120076510.827,226.463741413063
Masoor,2009,Rabi       ,Himachal Pradesh,704,274,969.9,109697.28,119.68,0.664444444,290697.792,598.4,291296.192,1063.12478832117
Moong(Green Gram),2009,Kharif     ,Himachal Pradesh,225,104,969.9,35059.5,38.25,0.367142857,92907.675,191.25,93098.925,895.181971153846
Onion,2009,Rabi       ,Himachal Pradesh,918,5392,969.9,143042.76,156.06,5.744,379063.314,780.3,379843.614,70.4457741097923
Other Kharif pulses,2009,Kharif     ,Himachal Pradesh,6982,3708,969.9,1087935.24,1186.94,0.515714286,2883028.386,5934.7,2888963.086,779.116258360302
Peas & beans (Pulses),2009,Kharif     ,Himachal Pradesh,817,748,969.9,127304.94,138.89,0.97,337358.091,694.45,338052.541,451.94189973262
Peas & beans (Pulses),2009,Rabi       ,Himachal Pradesh,8250,10245,969.9,1285515,1402.5,1.333636364,3406614.75,7012.5,3413627.25,333.199341142021
Potato,2009,Kharif     ,Himachal Pradesh,6436,64758,969.9,1002857.52,1094.12,11.582,2657572.428,5470.6,2663043.028,41.1229968189259
Potato,2009,Rabi       ,Himachal Pradesh,3406,23611,969.9,530722.92,579.02,4.67,1406415.738,2895.1,1409310.838,59.6887399093643
Ragi,2009,Kharif     ,Himachal Pradesh,2208,2104,969.9,344050.56,375.36,0.778571429,911733.984,1876.8,913610.784,434.225657794677
Rapeseed &Mustard,2009,Rabi       ,Himachal Pradesh,8586,2329,969.9,1337870.52,1459.62,0.340909091,3545356.878,7298.1,3552654.978,1525.39930356376
Rice,2009,Kharif     ,Himachal Pradesh,76186,105787,969.9,11871302.52,12951.62,1.484545455,31458951.678,64758.1,31523709.778,297.99228428824
Sesamum,2009,Kharif     ,Himachal Pradesh,2773,233,969.9,432088.86,471.41,0.084444444,1145035.479,2357.05,1147392.529,4924.43145493562
Small millets,2009,Kharif     ,Himachal Pradesh,4937,1771,969.9,769283.34,839.29,0.367142857,2038600.851,4196.45,2042797.301,1153.47109034444
Soyabean,2009,Kharif     ,Himachal Pradesh,550,430,969.9,85701,93.5,0.774285714,227107.65,467.5,227575.15,529.244534883721
Sugarcane,2009,Whole Year ,Himachal Pradesh,2124,44306,969.9,330961.68,361.08,16.11857143,877048.452,1805.4,878853.852,19.836000812531
Turmeric,2009,Kharif     ,Himachal Pradesh,194,110,969.9,30229.08,32.98,0.5625,80107.062,164.9,80271.962,729.745109090909
Urad,2009,Kharif     ,Himachal Pradesh,10007,1982,969.9,1559290.74,1701.19,0.284545455,4132120.461,8505.95,4140626.411,2089.11524268416
Wheat,2009,Rabi       ,Himachal Pradesh,350440,324174,969.9,54605560.8,59574.8,0.933333333,144704736.12,297874,145002610.12,447.298704152708
Arhar/Tur,2009,Kharif     ,Maharashtra,1093200,919100,1002.4,170342424,185844,0.7909375,451407423.6,929220,452336643.6,492.151717549777
Bajra,2009,Kharif     ,Maharashtra,1033500,766300,1002.4,161039970,175695,0.686666667,426755920.5,878475,427634395.5,558.050888033407
Castor seed,2009,Kharif     ,Maharashtra,6700,1500,1002.4,1043994,1139,0.195,2766584.1,5695,2772279.1,1848.18606666667
Cotton(lint),2009,Kharif     ,Maharashtra,3391500,5111200,1002.4,528463530,576555,1.444230769,1400428354.5,2882775,1403311129.5,274.556098274378
Gram,2009,Rabi       ,Maharashtra,1291400,1114400,1002.4,201225948,219538,0.795806452,533248762.2,1097690,534346452.2,479.492509152907
Groundnut,2009,Kharif     ,Maharashtra,260400,263800,1002.4,40575528,44268,0.797916667,107525149.2,221340,107746489.2,408.44006520091
Groundnut,2009,Summer     ,Maharashtra,61500,100700,1002.4,9582930,10455,1.522,25394764.5,52275,25447039.5,252.701484607746
Jowar,2009,Kharif     ,Maharashtra,1064300,1151844,1002.4,165839226,180931,1.0732,439473948.9,904655,440378603.9,382.324866822243
Jowar,2009,Rabi       ,Maharashtra,3112000,2413700,1002.4,484911840,529040,0.884,1285016376,2645200,1287661576,533.480372871525
Linseed,2009,Rabi       ,Maharashtra,36100,8700,1002.4,5625102,6137,0.180588235,14906520.3,30685,14937205.3,1716.92014942529
Maize,2009,Kharif     ,Maharashtra,673000,1530600,1002.4,104866860,114410,1.972962963,277897179,572050,278469229,181.934685090814
Maize,2009,Rabi       ,Maharashtra,101400,267200,1002.4,15800148,17238,1.9875,41870392.2,86190,41956582.2,157.023136976048
Maize,2009,Summer     ,Maharashtra,20100,30200,1002.4,3131982,3417,1.348235294,8299752.3,17085,8316837.3,275.391963576159
Moong(Green Gram),2009,Kharif     ,Maharashtra,427700,142000,1002.4,66644214,72709,0.4371875,176607167.1,363545,176970712.1,1246.27262042254
Niger seed,2009,Kharif     ,Maharashtra,33000,7000,1002.4,5142060,5610,0.180555556,13626459,28050,13654509,1950.64414285714
Other  Rabi pulses,2009,Rabi       ,Maharashtra,99100,43800,1002.4,15441762,16847,0.513461538,40920669.3,84235,41004904.3,936.185029680365
Other Kharif pulses,2009,Kharif     ,Maharashtra,109700,35200,1002.4,17093454,18649,0.280967742,45297653.1,93245,45390898.1,1289.51415056818
Ragi,2009,Kharif     ,Maharashtra,120200,108700,1002.4,18729564,20434,0.85,49633344.6,102170,49735514.6,457.548432382705
Rapeseed &Mustard,2009,Rabi       ,Maharashtra,5800,2240,1002.4,903756,986,0.493,2394953.4,4930,2399883.4,1071.37651785714
Rice,2009,Kharif     ,Maharashtra,1450000,2138100,1002.4,225939000,246500,1.106071429,598738350,1232500,599970850,280.609349422384
Rice,2009,Summer     ,Maharashtra,20600,47700,1002.4,3209892,3502,2.251111111,8506213.8,17510,8523723.8,178.694419287212
Safflower,2009,Rabi       ,Maharashtra,188100,108900,1002.4,29309742,31977,0.6455,77670816.3,159885,77830701.3,714.698818181818
Sesamum,2009,Kharif     ,Maharashtra,52100,13500,1002.4,8118222,8857,0.2025,21513288.3,44285,21557573.3,1596.85728148148
Sesamum,2009,Rabi       ,Maharashtra,2500,500,1002.4,389550,425,0.10375,1032307.5,2125,1034432.5,2068.865
Small millets,2009,Kharif     ,Maharashtra,53500,20400,1002.4,8336370,9095,0.361111111,22091380.5,45475,22136855.5,1085.1399754902
Small millets,2009,Rabi       ,Maharashtra,5300,2800,1002.4,825846,901,0.59,2188491.9,4505,2192996.9,783.213178571429
Soyabean,2009,Kharif     ,Maharashtra,3019100,2197000,1002.4,470436162,513247,0.948928571,1246655829.3,2566235,1249222064.3,568.603579563041
Sugarcane,2009,Whole Year ,Maharashtra,755900,64159300,1002.4,117784338,128503,76.29222222,312128495.7,642515,312771010.7,4.87491307885217
Sunflower,2009,Kharif     ,Maharashtra,74000,30826,1002.4,11530680,12580,0.4205,30556302,62900,30619202,993.291442288977
Sunflower,2009,Rabi       ,Maharashtra,140600,79700,1002.4,21908292,23902,0.573809524,58056973.8,119510,58176483.8,729.943335006274
Sunflower,2009,Summer     ,Maharashtra,5100,5400,1002.4,794682,867,0.889285714,2105907.3,4335,2110242.3,390.785611111111
Urad,2009,Kharif     ,Maharashtra,353500,117700,1002.4,55082370,60095,0.500606061,145968280.5,300475,146268755.5,1242.72519541207
Wheat,2009,Rabi       ,Maharashtra,1080900,1740200,1002.4,168425838,183753,1.53,446328470.7,918765,447247235.7,257.009099931042
Arhar/Tur,2009,Kharif     ,Manipur,168,149,992.5,26177.76,28.56,0.77875,69371.064,142.8,69513.864,466.536
Banana,2009,Whole Year ,Manipur,5841,60933,992.5,910144.62,992.97,10.64666667,2411883.243,4964.85,2416848.093,39.6640259465314
Cowpea(Lobia),2009,Kharif     ,Manipur,185,157,992.5,28826.7,31.45,0.7625,76390.755,157.25,76548.005,487.566910828026
Dry chillies,2009,Whole Year ,Manipur,8122,60712,992.5,1265570.04,1380.74,7.514444444,3353760.606,6903.7,3360664.306,55.3542019040717
Ginger,2009,Kharif     ,Manipur,2098,24895,992.5,326910.36,356.66,11.87,866312.454,1783.3,868095.754,34.8702853585057
Gram,2009,Rabi       ,Manipur,1848,1584,992.5,287955.36,314.16,0.817777778,763081.704,1570.8,764652.504,482.735166666667
Groundnut,2009,Kharif     ,Manipur,475,280,992.5,74014.5,80.75,0.522222222,196138.425,403.75,196542.175,701.936339285714
Maize,2009,Kharif     ,Manipur,18300,33950,992.5,2851506,3111,1.705555556,7556490.9,15555,7572045.9,223.03522533137
Maize,2009,Rabi       ,Manipur,13500,23170,992.5,2103570,2295,1.673333333,5574460.5,11475,5585935.5,241.084829520932
Masoor,2009,Rabi       ,Manipur,1413,1195,992.5,220173.66,240.21,0.812222222,583460.199,1201.05,584661.249,489.256275313808
Moong(Green Gram),2009,Kharif     ,Manipur,190,155,992.5,29605.8,32.3,0.718888889,78455.37,161.5,78616.87,507.205612903226
Other  Rabi pulses,2009,Rabi       ,Manipur,8993,7851,992.5,1401289.26,1528.81,0.817777778,3713416.539,7644.05,3721060.589,473.960080117183
Other Kharif pulses,2009,Kharif     ,Manipur,286,250,992.5,44564.52,48.62,0.731111111,118095.978,243.1,118339.078,473.356312
Peas & beans (Pulses),2009,Rabi       ,Manipur,36746,31587,992.5,5725761.72,6246.82,0.82,15173268.558,31234.1,15204502.658,481.35317244436
Potato,2009,Whole Year ,Manipur,13650,113860,992.5,2126943,2320.5,8.286666667,5636398.95,11602.5,5648001.45,49.6047905322326
Rapeseed &Mustard,2009,Rabi       ,Manipur,56000,43640,992.5,8725920,9520,0.734444444,23123688,47600,23171288,530.964436296975
Rice,2009,Kharif     ,Manipur,113890,265090,992.5,17746339.8,19361.3,1.923333333,47027800.47,96806.5,47124606.97,177.768331396884
Soyabean,2009,Kharif     ,Manipur,565,340,992.5,88038.3,96.05,0.543333333,233301.495,480.25,233781.745,687.593367647059
Sugarcane,2009,Whole Year ,Manipur,3870,227130,992.5,603023.4,657.9,56.62666667,1598012.01,3289.5,1601301.51,7.05015414080042
Turmeric,2009,Whole Year ,Manipur,1295,15410,992.5,201786.9,220.15,11.80777778,534735.285,1100.75,535836.035,34.7719685269306
Urad,2009,Kharif     ,Manipur,361,297,992.5,56251.02,61.37,0.706666667,149065.203,306.85,149372.053,502.936205387205
Wheat,2009,Rabi       ,Manipur,12000,25050,992.5,1869840,2040,2.073333333,4955076,10200,4965276,198.214610778443
Arhar/Tur,2009,Kharif     ,Nagaland,3000,2110,1225.9,467460,510,0.699090909,1238769,2550,1241319,588.302843601896
Bajra,2009,Kharif     ,Nagaland,1000,690,1225.9,155820,170,0.688181818,412923,850,413773,599.671014492754
Barley,2009,Rabi       ,Nagaland,500,700,1225.9,77910,85,1.449090909,206461.5,425,206886.5,295.552142857143
Castor seed,2009,Kharif     ,Nagaland,650,330,1225.9,101283,110.5,0.496363636,268399.95,552.5,268952.45,815.007424242424
Cotton(lint),2009,Kharif     ,Nagaland,90,40,1225.9,14023.8,15.3,0.465,37163.07,76.5,37239.57,930.98925
Gram,2009,Rabi       ,Nagaland,570,400,1225.9,88817.4,96.9,0.740909091,235366.11,484.5,235850.61,589.626525
Groundnut,2009,Kharif     ,Nagaland,700,550,1225.9,109074,119,0.754,289046.1,595,289641.1,526.620181818182
Jowar,2009,Kharif     ,Nagaland,240,100,1225.9,37396.8,40.8,0.412,99101.52,204,99305.52,993.0552
Jute,2009,Kharif     ,Nagaland,1250,1960,1225.9,194775,212.5,1.554,516153.75,1062.5,517216.25,263.885841836735
Linseed,2009,Rabi       ,Nagaland,12780,8800,1225.9,1991379.6,2172.6,0.688181818,5277155.94,10863,5288018.94,600.911243181818
Maize,2009,Kharif     ,Nagaland,63100,65690,1225.9,9832242,10727,1.037272727,26055441.3,53635,26109076.3,397.458917643477
Maize,2009,Rabi       ,Nagaland,5000,7500,1225.9,779100,850,1.51,2064615,4250,2068865,275.848666666667
Masoor,2009,Rabi       ,Nagaland,1910,1360,1225.9,297616.2,324.7,0.711111111,788682.93,1623.5,790306.43,581.107669117647
Mesta,2009,Kharif     ,Nagaland,2000,2000,1225.9,311640,340,0.978181818,825846,1700,827546,413.773
Moong(Green Gram),2009,Kharif     ,Nagaland,620,560,1225.9,96608.4,105.4,0.897272727,256012.26,527,256539.26,458.105821428571
Peas & beans (Pulses),2009,Kharif     ,Nagaland,2050,2250,1225.9,319431,348.5,1.096,846492.15,1742.5,848234.65,376.993177777778
Peas & beans (Pulses),2009,Rabi       ,Nagaland,6800,6800,1225.9,1059576,1156,0.998181818,2807876.4,5780,2813656.4,413.773
Potato,2009,Kharif     ,Nagaland,3030,28580,1225.9,472134.6,515.1,9.416363636,1251156.69,2575.5,1253732.19,43.867466410077
Potato,2009,Rabi       ,Nagaland,2950,36580,1225.9,459669,501.5,12.39,1218122.85,2507.5,1220630.35,33.3687903225807
Ragi,2009,Kharif     ,Nagaland,350,240,1225.9,54537,59.5,0.664285714,144523.05,297.5,144820.55,603.418958333333
Rapeseed &Mustard,2009,Rabi       ,Nagaland,58590,46870,1225.9,9129493.8,9960.3,0.791818182,24193158.57,49801.5,24242960.07,517.238320247493
Rice,2009,Kharif     ,Nagaland,168570,240310,1225.9,26266577.4,28656.9,1.393636364,69606430.11,143284.5,69749714.61,290.248906038034
Sesamum,2009,Kharif     ,Nagaland,3000,1520,1225.9,467460,510,0.515454545,1238769,2550,1241319,816.657236842105
Small millets,2009,Kharif     ,Nagaland,9650,3460,1225.9,1503663,1640.5,0.357777778,3984706.95,8202.5,3992909.45,1154.02007225434
Soyabean,2009,Kharif     ,Nagaland,24240,25010,1225.9,3777076.8,4120.8,1.030909091,10009253.52,20604,10029857.52,401.033887245102
Sugarcane,2009,Kharif     ,Nagaland,5090,152880,1225.9,793123.8,865.3,30.02272727,2101778.07,4326.5,2106104.57,13.7761942046049
Sunflower,2009,Kharif     ,Nagaland,200,120,1225.9,31164,34,0.57,82584.6,170,82754.6,689.621666666667
Sunflower,2009,Rabi       ,Nagaland,1840,1650,1225.9,286708.8,312.8,0.876,759778.32,1564,761342.32,461.419587878788
Tapioca,2009,Kharif     ,Nagaland,2540,27050,1225.9,395782.8,431.8,11.15727273,1048824.42,2159,1050983.42,38.8533611829945
Urad,2009,Kharif     ,Nagaland,300,200,1225.9,46746,51,0.60375,123876.9,255,124131.9,620.6595
Urad,2009,Rabi       ,Nagaland,470,350,1225.9,73235.4,79.9,0.707,194073.81,399.5,194473.31,555.638028571428
Wheat,2009,Rabi       ,Nagaland,2010,2410,1225.9,313198.2,341.7,1.198888889,829975.23,1708.5,831683.73,345.09698340249
Arhar/Tur,2009,Kharif     ,Punjab,4600,4400,371.3,716772,782,0.988571429,1899445.8,3910,1903355.8,432.580863636364
Bajra,2009,Kharif     ,Punjab,3000,4000,371.3,467460,510,1.333333333,1238769,2550,1241319,310.32975
Barley,2009,Rabi       ,Punjab,14000,47000,371.3,2181480,2380,3.40625,5780922,11900,5792822,123.251531914894
Cotton(lint),2009,Kharif     ,Punjab,511000,2006000,371.3,79624020,86870,4.052727273,211003653,434350,211438003,105.402793120638
